NM_000538	RFXAP
NM_000539	RHO
NM_000540	RYR1
NM_000541	SAG
NM_000542	SFTPB
NM_000543	SMPD1
NM_000544	TAP2
NM_000545	HNF1A
NM_000546	n/a
NM_000547	TPO
NM_000548	TSC2
NM_000549	TSHB
NM_000550	TYRP1
NM_000551	VHL
NM_000552	VWF
NM_000553	WRN
NM_000554	CRX
NM_000555	DCX
NM_000557	GDF5
NM_000558	HBA1
NM_000560	CD53
NM_000561	GSTM1
NM_000562	C8A
NM_000564	IL5RA
NM_000565	IL6R
NM_000566	FCGR1A
NM_000567	CRP
NM_000569	FCGR3A
NM_000570	FCGR3B
NM_000572	IL10
NM_000573	CR1
NM_000574	CD55
NM_000575	IL1A
NM_000576	IL1B
NM_000577	IL1RN
NM_000578	SLC11A1
NM_000579	CCR5
NM_000581	GPX1
NM_000582	SPP1
NM_000583	GC
NM_000585	IL15
NM_000586	IL2
NM_000587	C7
NM_000588	IL3
NM_000589	IL4
NM_000590	IL9
NM_000591	CD14
NM_000593	TAP1
NM_000594	TNF
NM_000595	LTA
NM_000596	IGFBP1
NM_000597	IGFBP2
NM_000598	IGFBP3
NM_000599	IGFBP5
NM_000600	IL6
NM_000601	HGF
NM_000602	SERPINE1
NM_000603	NOS3
NM_000605	IFNA2
NM_000606	C8G
NM_000607	ORM1
NM_000608	ORM2
NM_000609	CXCL12
NM_000610	CD44
NM_000611	CD59
NM_000612	IGF2
NM_000613	HPX
NM_000614	CNTF
NM_000615	NCAM1
NM_000616	CD4
NM_000617	SLC11A2
NM_000618	IGF1
NM_000619	IFNG
NM_000620	NOS1
NM_000621	HTR2A
NM_000623	BDKRB2
NM_000624	SERPINA5
NM_000625	NOS2
NM_000626	CD79B
NM_000627	LTBP1
NM_000628	IL10RB
NM_000629	IFNAR1
NM_000631	NCF4
NM_000632	ITGAM
NM_000633	BCL2
NM_000634	CXCR1
NM_000635	RFX2
NM_000636	SOD2
NM_000637	GSR
NM_000638	VTN
NM_000639	FASLG
NM_000640	IL13RA2
NM_000641	IL11
NM_000642	AGL
NM_000643	AGL
NM_000644	AGL
NM_000645	AGL
NM_000646	AGL
NM_000651	CR1
NM_000655	SELL
NM_000657	BCL2
NM_000660	TGFB1
NM_000661	RPL9
NM_000662	NAT1
NM_000663	ABAT
NM_000665	ACHE
NM_000666	ACY1
NM_000667	ADH1A
NM_000668	ADH1B
NM_000669	ADH1C
NM_000670	ADH4
NM_000671	ADH5
NM_000672	ADH6
NM_000673	ADH7
NM_000674	ADORA1
NM_000675	ADORA2A
NM_000676	ADORA2B
NM_000677	ADORA3
NM_000678	ADRA1D
NM_000679	ADRA1B
NM_000680	ADRA1A
NM_000681	ADRA2A
NM_000682	ADRA2B
NM_000683	ADRA2C
NM_000684	ADRB1
NM_000685	AGTR1
NM_000686	AGTR2
NM_000687	AHCY
NM_000688	ALAS1
NM_000689	ALDH1A1
NM_000690	ALDH2
NM_000691	ALDH3A1
NM_000692	ALDH1B1
NM_000693	ALDH1A3
NM_000694	ALDH3B1
NM_000695	ALDH3B2
